# Copyright (C) 2022  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 22.1std.0 Build 915 10/25/2022 SC Lite Edition
# File: C:\Users\TrungNguyen\Desktop\Project_2_CSC244\source_code\Project_2_CSC244.csv
# Generated on: Tue Nov 28 14:46:33 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
CLK,Input,PIN_B8,7,B7_N0,PIN_B8,2.5 V,,,,,
CLK50MHz,Input,PIN_P11,3,B3_N0,PIN_P11,2.5 V,,,,,
DHEX0[6],Output,PIN_C17,7,B7_N0,PIN_A18,,,,,,
DHEX0[5],Output,PIN_D17,7,B7_N0,PIN_A17,,,,,,
DHEX0[4],Output,PIN_E16,7,B7_N0,PIN_A19,,,,,,
DHEX0[3],Output,PIN_C16,7,B7_N0,PIN_B16,,,,,,
DHEX0[2],Output,PIN_C15,7,B7_N0,PIN_D15,,,,,,
DHEX0[1],Output,PIN_E15,7,B7_N0,PIN_A20,,,,,,
DHEX0[0],Output,PIN_C14,7,B7_N0,PIN_C16,,,,,,
DHEX1[6],Output,PIN_B17,7,B7_N0,PIN_A16,,,,,,
DHEX1[5],Output,PIN_A18,7,B7_N0,PIN_B15,,,,,,
DHEX1[4],Output,PIN_A17,7,B7_N0,PIN_C15,,,,,,
DHEX1[3],Output,PIN_B16,7,B7_N0,PIN_H14,,,,,,
DHEX1[2],Output,PIN_E18,6,B6_N0,PIN_A15,,,,,,
DHEX1[1],Output,PIN_D18,6,B6_N0,PIN_C14,,,,,,
DHEX1[0],Output,PIN_C18,7,B7_N0,PIN_J13,,,,,,
DHEX2[6],Output,PIN_B22,6,B6_N0,PIN_E12,,,,,,
DHEX2[5],Output,PIN_C22,6,B6_N0,PIN_J12,,,,,,
DHEX2[4],Output,PIN_B21,6,B6_N0,PIN_H13,,,,,,
DHEX2[3],Output,PIN_A21,6,B6_N0,PIN_E11,,,,,,
DHEX2[2],Output,PIN_B19,7,B7_N0,PIN_H12,,,,,,
DHEX2[1],Output,PIN_A20,7,B7_N0,PIN_N21,,,,,,
DHEX2[0],Output,PIN_B20,6,B6_N0,PIN_E10,,,,,,
IN_DATA_BUS[9],Input,PIN_F15,7,B7_N0,PIN_F15,2.5 V,,,,,
IN_DATA_BUS[8],Input,PIN_B14,7,B7_N0,PIN_B14,2.5 V,,,,,
IN_DATA_BUS[7],Input,PIN_A14,7,B7_N0,PIN_A14,2.5 V,,,,,
IN_DATA_BUS[6],Input,PIN_A13,7,B7_N0,PIN_A13,2.5 V,,,,,
IN_DATA_BUS[5],Input,PIN_B12,7,B7_N0,PIN_B12,2.5 V,,,,,
IN_DATA_BUS[4],Input,PIN_A12,7,B7_N0,PIN_A12,2.5 V,,,,,
IN_DATA_BUS[3],Input,PIN_C12,7,B7_N0,PIN_C12,2.5 V,,,,,
IN_DATA_BUS[2],Input,PIN_D12,7,B7_N0,PIN_D12,2.5 V,,,,,
IN_DATA_BUS[1],Input,PIN_C11,7,B7_N0,PIN_C11,2.5 V,,,,,
IN_DATA_BUS[0],Input,PIN_C10,7,B7_N0,PIN_C10,2.5 V,,,,,
OUT_DATA_BUS[9],Output,PIN_B11,7,B7_N0,PIN_B11,2.5 V,,,,,
OUT_DATA_BUS[8],Output,PIN_A11,7,B7_N0,PIN_A11,2.5 V,,,,,
OUT_DATA_BUS[7],Output,PIN_D14,7,B7_N0,PIN_D14,2.5 V,,,,,
OUT_DATA_BUS[6],Output,PIN_E14,7,B7_N0,PIN_E14,2.5 V,,,,,
OUT_DATA_BUS[5],Output,PIN_C13,7,B7_N0,PIN_C13,2.5 V,,,,,
OUT_DATA_BUS[4],Output,PIN_D13,7,B7_N0,PIN_D13,2.5 V,,,,,
OUT_DATA_BUS[3],Output,PIN_B10,7,B7_N0,PIN_B10,2.5 V,,,,,
OUT_DATA_BUS[2],Output,PIN_A10,7,B7_N0,PIN_A10,2.5 V,,,,,
OUT_DATA_BUS[1],Output,PIN_A9,7,B7_N0,PIN_A9,2.5 V,,,,,
OUT_DATA_BUS[0],Output,PIN_A8,7,B7_N0,PIN_A8,2.5 V,,,,,
PKb,Input,PIN_A7,7,B7_N0,PIN_A7,2.5 V,,,,,
THEX[7],Output,PIN_L19,6,B6_N0,PIN_E13,,,,,,
THEX[6],Output,PIN_N20,6,B6_N0,PIN_N20,2.5 V,,,,,
THEX[5],Output,PIN_N19,6,B6_N0,PIN_N19,2.5 V,,,,,
THEX[4],Output,PIN_M20,6,B6_N0,PIN_M20,2.5 V,,,,,
THEX[3],Output,PIN_N18,6,B6_N0,PIN_N18,2.5 V,,,,,
THEX[2],Output,PIN_L18,6,B6_N0,PIN_L18,2.5 V,,,,,
THEX[1],Output,PIN_K20,6,B6_N0,PIN_K20,2.5 V,,,,,
THEX[0],Output,PIN_J20,6,B6_N0,PIN_J20,2.5 V,,,,,
DHEX[0][0],Unknown,,,,,2.5 V,,,,,
DHEX[0][1],Unknown,,,,,2.5 V,,,,,
DHEX[0][2],Unknown,,,,,2.5 V,,,,,
DHEX[0][3],Unknown,,,,,2.5 V,,,,,
DHEX[0][4],Unknown,,,,,2.5 V,,,,,
DHEX[0][5],Unknown,,,,,2.5 V,,,,,
DHEX[0][6],Unknown,,,,,2.5 V,,,,,
DHEX[1][0],Unknown,,,,,2.5 V,,,,,
DHEX[1][1],Unknown,,,,,2.5 V,,,,,
DHEX[1][2],Unknown,,,,,2.5 V,,,,,
DHEX[1][3],Unknown,,,,,2.5 V,,,,,
DHEX[1][4],Unknown,,,,,2.5 V,,,,,
DHEX[1][5],Unknown,,,,,2.5 V,,,,,
DHEX[1][6],Unknown,,,,,2.5 V,,,,,
DHEX[2][0],Unknown,,,,,2.5 V,,,,,
DHEX[2][1],Unknown,,,,,2.5 V,,,,,
DHEX[2][2],Unknown,,,,,2.5 V,,,,,
DHEX[2][3],Unknown,,,,,2.5 V,,,,,
DHEX[2][4],Unknown,,,,,2.5 V,,,,,
DHEX[2][5],Unknown,,,,,2.5 V,,,,,
DHEX[2][6],Unknown,,,,,2.5 V,,,,,
Done,Unknown,,,,,2.5 V,,,,,
